flag,n_flag_positive_evaluated,n_denied,denial_pct,wilson_lo_pct,wilson_hi_pct
chronic_disease_or_hosp,48,6,12.5,5.86,24.7
ear_URI_history,33,5,15.15,6.65,30.92
recent_respiratory,31,9,29.03,16.1,46.59
cardiac_hypertension,29,3,10.34,3.58,26.39
anemia_bleeding,1,1,100.0,20.65,100.0
seizures_epilepsy,2,0,0.0,0.0,65.76
claustrophobia,5,0,0.0,0.0,43.45
recent_msk_injury,20,2,10.0,2.79,30.1
GI_symptoms,11,0,0.0,0.0,25.88
recent_dental,23,3,13.04,4.54,32.13
malaise_fever_fatigue,3,3,100.0,43.85,100.0
tobacco_alcohol_24h,19,1,5.26,0.94,24.64
diving_altitude_48h,9,0,0.0,0.0,29.92
