run_id,date,training_number,profile_type,O2_initial_psi,n_students,notified_hyperbaric,notified_CATAM,rapid_decomp_exercise,medical_emergency_flag,medical_event_category,technical_emergency_flag,safety_event_flag,O2_final_psi
1,2025-02-17,5,RECURRENTE,1120,5,SI,SI,NO se realiza RD,NO,,NO,NO,1010
2,2025-02-17,6,RECURRENTE,1010,5,SI,SI,NO se realiza RD,NO,,NO,NO,920
3,2025-02-18,7,RECURRENTE,900,6,SI,SI,NO se realiza RD,NO,,NO,SI,800
4,2025-02-24,8,RECURRENTE,800,5,SI,SI,NO se realiza RD,NO,,NO,SI,690
5,2025-03-03,9,INICIAL,680,7,SI,SI,NO se realiza RD,NO,,NO,SI,480
6,2025-03-05,11,INICIAL,2640,6,SI,SI,NO se realiza RD,NO,,SI,SI,2560
7,2025-03-05,10,INICIAL,2740,8,SI,SI,NO se realiza RD,SI,barotrauma,NO,NO,2640
8,2025-03-17,12,RECURRENTE,2500,6,SI,SI,NO se realiza RD,NO,,NO,NO,2400
9,2025-03-17,13,RECURRENTE,2400,5,SI,SI,NO se realiza RD,SI,other,NO,NO,2360
10,2025-03-31,14,INICIAL,2340,7,SI,SI,RD1 Realizada;RD2 Realizada,NO,,NO,NO,2100
11,2025-04-01,15,INICIAL,2100,8,SI,SI,RD1 Realizada;RD2 Realizada,NO,,NO,NO,1900
12,2025-04-28,16,RECURRENTE,1880,7,SI,SI,NO se realiza RD,NO,,NO,SI,1780
13,2025-05-05,17,INICIAL,2580,8,SI,SI,RD1 Realizada,NO,,NO,SI,2340
14,2025-05-07,19,INICIAL,2140,8,SI,SI,RD1 Realizada,NO,,NO,SI,1940
15,2025-05-07,20,INICIAL,1940,8,SI,SI,RD1 Realizada,NO,,NO,NO,1740
16,2025-05-06,18,INICIAL,2340,8,SI,SI,RD1 Realizada,NO,,NO,NO,1740
17,2025-05-12,21,RECURRENTE,1740,8,SI,SI,NO se realiza RD,NO,,NO,NO,1580
18,2025-05-19,22,RECURRENTE,1740,7,SI,SI,NO se realiza RD,SI,barotrauma,NO,NO,1580
19,2025-05-26,23,RECURRENTE,1600,8,SI,SI,NO se realiza RD,NO,,NO,SI,1200
20,2025-06-09,24,RECURRENTE,1220,6,SI,SI,NO se realiza RD,NO,,NO,NO,1100
21,2025-06-09,25,RECURRENTE,1080,5,SI,SI,,NO,,NO,NO,1000
22,2025-06-16,26,RECURRENTE,980,8,SI,NO,NO se realiza RD,NO,,NO,NO,880
23,2025-07-07,28,INICIAL,860,7,SI,SI,RD1 Realizada,SI,barotrauma,NO,NO,600
24,2025-07-07,29,INICIAL,600,7,SI,SI,NO se realiza RD,NO,,NO,SI,400
25,2025-07-08,30,INICIAL,2800,7,SI,SI,RD1 Realizada,NO,,NO,NO,2680
26,2025-07-08,31,INICIAL,2680,7,SI,SI,NO se realiza RD,NO,,NO,NO,2440
27,2025-07-15,31,RECURRENTE,2400,5,SI,SI,NO se realiza RD,NO,,NO,NO,2300
28,2025-07-21,33,RECURRENTE,2300,6,SI,SI,NO se realiza RD,NO,,NO,NO,2240
29,2025-07-28,33,RECURRENTE,2220,5,SI,SI,NO se realiza RD,NO,,NO,NO,2100
30,2025-07-29,35,RECURRENTE,2080,4,SI,SI,NO se realiza RD,NO,,NO,NO,2000
31,2025-08-11,35,RECURRENTE,1840,7,SI,SI,NO se realiza RD,NO,,SI,SI,1740
32,2025-08-25,36,RECURRENTE,1740,8,SI,SI,NO se realiza RD,NO,,NO,NO,1560
33,2025-08-25,37,RECURRENTE,1520,7,SI,SI,NO se realiza RD,NO,,NO,NO,1480
34,2025-09-01,38,INICIAL,1440,8,SI,SI,RD1 Realizada,NO,,NO,NO,1240
35,2025-09-01,39,INICIAL,1440,8,SI,SI,RD1 Realizada,SI,other,NO,NO,940
36,2025-09-02,40,INICIAL,960,8,SI,SI,RD1 Realizada,NO,,NO,NO,700
37,2025-09-02,41,INICIAL,700,8,SI,SI,NO se realiza RD,NO,,NO,NO,460
38,2025-09-08,42,RECURRENTE,2620,8,SI,SI,NO se realiza RD,NO,,NO,NO,2520
39,2025-09-22,43,INICIAL,2520,8,SI,SI,RD1 Realizada,NO,,NO,NO,2340
40,2025-09-23,44,INICIAL,2100,8,SI,SI,NO se realiza RD,SI,barotrauma,NO,NO,1920
41,2025-09-23,45,INICIAL,1920,7,SI,SI,NO se realiza RD,SI,hypoxia,NO,NO,1700
42,2025-09-23,46,INICIAL,1700,6,SI,SI,NO se realiza RD,NO,,NO,NO,1580
43,2025-09-29,47,RECURRENTE,1500,6,SI,SI,NO se realiza RD,NO,,NO,NO,1400
44,2025-09-29,48,RECURRENTE,1350,6,SI,SI,NO se realiza RD,NO,,SI,NO,1300
45,2025-09-30,48,RECURRENTE,1260,6,SI,SI,NO se realiza RD,NO,,NO,NO,1200
46,2025-10-06,49,INICIAL,1180,8,SI,SI,RD1 Realizada,NO,,NO,NO,1000
47,2025-10-06,50,INICIAL,1000,8,SI,SI,RD1 Realizada,SI,barotrauma,NO,SI,750
48,2025-10-07,51,INICIAL,740,8,SI,SI,RD1 Realizada,NO,,NO,NO,520
49,2025-10-07,52,INICIAL,540,8,SI,SI,RD1 Realizada,NO,,NO,NO,2700
50,2025-10-14,53,INICIAL,2560,8,SI,SI,RD1 Realizada,NO,,NO,NO,2400
51,2025-10-15,54,INICIAL,2300,8,SI,SI,RD1 Realizada,NO,,NO,NO,2180
52,2025-10-15,55,INICIAL,2160,8,SI,SI,NO se realiza RD,SI,other,NO,NO,2000
53,2025-10-16,56,INICIAL,1940,8,SI,SI,RD1 Realizada,SI,other,NO,NO,1780
54,2025-10-21,57,RECURRENTE,1750,3,SI,SI,NO se realiza RD,NO,,NO,NO,1710
55,2025-10-22,58,INICIAL,1700,8,SI,SI,,SI,barotrauma,NO,SI,1500
56,2025-10-22,59,INICIAL,1500,8,SI,SI,RD1 Realizada,SI,barotrauma,NO,SI,1300
57,2025-10-23,60,INICIAL,1300,8,SI,SI,NO se realiza RD,NO,,NO,NO,1080
58,2025-10-23,61,INICIAL,1060,8,SI,SI,NO se realiza RD,SI,barotrauma,NO,SI,860
59,2025-10-27,62,INICIAL,840,8,SI,SI,RD1 Realizada,NO,,NO,NO,640
60,2025-10-27,63,INICIAL,640,8,SI,SI,RD1 Realizada,NO,,NO,NO,440
61,2025-10-28,64,INICIAL,2840,8,SI,SI,RD1 Realizada,NO,,NO,NO,2640
62,2025-10-28,65,INICIAL,2640,5,SI,SI,NO se realiza RD,NO,,NO,NO,2560
63,2025-11-10,66,INICIAL,2700,8,SI,SI,RD1 Realizada,NO,,NO,NO,2500
64,2025-11-10,67,INICIAL,2500,6,SI,SI,RD1 Realizada,NO,,NO,NO,2600
65,2025-11-11,68,INICIAL,2560,8,SI,SI,RD1 Realizada,NO,,NO,NO,2500
