ascent_rate,descent_rate,et_dysfunction,max_pressure_differential,barotitis_risk,baromyringitis_risk,et_locked_duration,et_collapse_duration,overall_risk,pressure_control,et_function_score
1000.0,1000.0,0.0,0.0,0.0,0.0,85.622,0.0,0.89,100.0,14.378
1000.0,1000.0,0.05,0.0,0.0,0.0,85.514,0.0,0.889,100.0,14.486
1000.0,1000.0,0.1,0.0,0.0,0.0,86.378,0.0,0.898,100.0,13.622
1000.0,1000.0,0.15,0.0,0.0,0.0,87.459,0.0,5.685,100.0,12.541
1000.0,1000.0,0.2,0.0,0.0,0.0,86.162,0.0,6.721,100.0,13.838
1000.0,1000.0,0.25,0.0,0.0,0.0,86.703,0.0,7.89,100.0,13.297
1000.0,1000.0,0.3,30.185,0.0,0.0,88.216,0.0,27.979,99.652,11.784
1000.0,1000.0,0.35,33.378,0.0,0.0,86.324,0.0,29.295,99.727,13.676
1000.0,1000.0,0.4,38.662,0.0,0.0,88.216,0.0,33.487,99.691,11.784
1000.0,1000.0,0.45,44.581,0.0,0.0,89.838,0.0,38.785,99.568,10.162
1000.0,1000.0,0.5,48.759,0.0,0.0,86.703,0.0,42.81,99.55,13.297
1000.0,1000.0,0.55,69.101,0.0,0.0,89.027,0.0,50.417,99.112,10.973
1000.0,1000.0,0.6,48.777,0.0,0.0,87.081,0.0,73.874,99.422,12.919
1000.0,1000.0,0.65,220.37,98.054,97.946,99.135,98.216,100.0,-128.217,0.865
1000.0,1000.0,0.7,465.388,0.919,0.919,88.432,1.027,96.529,96.527,11.568
1000.0,1000.0,0.75,439.911,99.351,99.297,99.73,99.459,100.0,-376.093,0.27
1000.0,1000.0,0.8,450.789,99.405,99.351,99.892,99.568,100.0,-390.428,0.108
1000.0,1000.0,0.85,477.909,99.568,99.459,99.892,99.676,100.0,-422.248,0.108
1000.0,1000.0,0.9,477.94,99.568,99.459,99.946,99.73,100.0,-423.529,0.054
1000.0,1000.0,0.95,477.959,99.568,99.568,99.946,99.784,100.0,-424.298,0.054
1000.0,1000.0,1.0,477.965,99.568,99.568,99.946,99.784,100.0,-424.554,0.054
1000.0,1800.0,0.0,0.0,0.0,0.0,85.745,0.0,0.892,100.0,14.255
1000.0,1800.0,0.05,0.0,0.0,0.0,86.561,0.0,0.9,100.0,13.439
1000.0,1800.0,0.1,0.0,0.0,0.0,86.779,0.0,0.903,100.0,13.221
1000.0,1800.0,0.15,0.0,0.0,0.0,88.248,0.0,5.736,100.0,11.752
1000.0,1800.0,0.2,0.0,0.0,0.0,87.106,0.0,6.794,100.0,12.894
1000.0,1800.0,0.25,0.0,0.0,0.0,87.486,0.0,7.961,100.0,12.514
1000.0,1800.0,0.3,27.245,0.0,0.0,85.854,0.0,27.204,99.877,14.146
1000.0,1800.0,0.35,36.609,0.0,0.0,87.595,0.0,29.76,99.835,12.405
1000.0,1800.0,0.4,32.644,0.0,0.0,88.575,0.0,33.534,99.809,11.425
1000.0,1800.0,0.45,36.621,0.0,0.0,88.411,0.0,38.061,99.788,11.589
1000.0,1800.0,0.5,47.326,0.0,0.0,86.997,0.0,42.928,99.602,13.003
1000.0,1800.0,0.55,477.459,99.51,99.51,99.837,99.619,100.0,-405.259,0.163
1000.0,1800.0,0.6,303.958,98.966,98.912,99.619,99.184,100.0,-217.76,0.381
1000.0,1800.0,0.65,93.867,0.0,0.0,88.03,0.054,76.624,99.394,11.97
1000.0,1800.0,0.7,383.395,99.347,99.238,99.782,99.456,100.0,-312.348,0.218
1000.0,1800.0,0.75,412.825,99.456,99.347,99.782,99.51,100.0,-347.56,0.218
1000.0,1800.0,0.8,477.865,99.619,99.565,99.946,99.728,100.0,-421.833,0.054
1000.0,1800.0,0.85,477.909,99.619,99.565,99.946,99.728,100.0,-423.615,0.054
1000.0,1800.0,0.9,477.94,99.619,99.565,99.946,99.782,100.0,-424.888,0.054
1000.0,1800.0,0.95,477.959,99.674,99.619,99.946,99.837,100.0,-425.651,0.054
1000.0,1800.0,1.0,477.965,99.674,99.619,99.946,99.837,100.0,-425.906,0.054
1000.0,2600.0,0.0,0.0,0.0,0.0,86.423,0.0,0.899,100.0,13.577
1000.0,2600.0,0.05,0.0,0.0,0.0,86.532,0.0,0.9,100.0,13.468
1000.0,2600.0,0.1,0.0,0.0,0.0,87.186,0.0,0.907,100.0,12.814
1000.0,2600.0,0.15,0.0,0.0,0.0,87.023,0.0,5.656,100.0,12.977
1000.0,2600.0,0.2,0.0,0.0,0.0,88.004,0.0,6.864,100.0,11.996
1000.0,2600.0,0.25,0.0,0.0,0.0,87.241,0.0,7.939,100.0,12.759
1000.0,2600.0,0.3,38.668,0.0,0.0,87.405,0.0,27.829,99.876,12.595
1000.0,2600.0,0.35,28.213,0.0,0.0,88.222,0.0,29.858,99.867,11.778
1000.0,2600.0,0.4,34.511,0.0,0.0,88.113,0.0,33.39,99.82,11.887
1000.0,2600.0,0.45,55.353,0.0,0.0,88.495,0.0,38.367,99.781,11.505
1000.0,2600.0,0.5,55.363,0.0,0.0,88.931,0.0,43.985,99.626,11.069
1000.0,2600.0,0.55,400.91,0.273,0.273,88.768,0.327,74.354,98.581,11.232
1000.0,2600.0,0.6,307.257,99.073,99.073,99.673,99.237,100.0,-221.817,0.327
1000.0,2600.0,0.65,422.454,0.327,0.327,87.732,0.382,91.852,98.544,12.268
1000.0,2600.0,0.7,477.74,99.673,99.618,99.945,99.727,100.0,-417.284,0.055
1000.0,2600.0,0.75,424.431,99.455,99.455,99.782,99.564,100.0,-360.86,0.218
1000.0,2600.0,0.8,477.865,99.673,99.618,99.891,99.727,100.0,-422.36,0.109
1000.0,2600.0,0.85,477.909,99.673,99.618,99.945,99.782,100.0,-424.143,0.055
